"id","created_at","updated_at","deleted_at","deletedTracker","published_at","locale_name","default_entity_locale_id","organization_name","created_by_id","updated_by_id","bid_plus_gem_portal_ministry_master_id_id"
200,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,PROJECTS AND DEVELOPMENT INDIA LIMITED (PDIL),,,5
56,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INSTITUTE OF PESTICIDE FORMULATION TECHNOLOGY (IPFT) GURGAON HARYANA,,,5
319,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ADVANCED WEAPONS AND EQUIPMENT INDIA LIMITED,,,319
1705,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OFFICE OF DG ( NS & M),,,319
749,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DEFENCE RESEARCH AND DEVELOPMENT ORGANISATION (DRDO),,,319
1677,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NAINI AEROSPACE LIMITED,,,319
546,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BHARAT EARTH MOVERS LIMITED (BEML),,,319
269,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,THE FERTILISERS AND CHEMICALS TRAVANCORE LIMITED,,,5
201,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,RAMAGUNDAM FERTILIZERS AND CHEMICALS LTD,,,5
783,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DG ARMED FORCES MEDICAL SERVICE,,,319
779,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DEPARTMENT OF EX SEVICEMEN WELFARE,,,319
396,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ARMED FORCES TRIBUNAL,,,319
214,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED (RCF),,,5
264,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,TALCHER FERTILIZERS LIMITED,,,5
1475,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN NAVY,,,319
103,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NATIONAL FERTILIZERS LIMITED (NFL),,,5
1425,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN COAST GUARD,,,319
983,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTORATE OF ORDNANCE COORDINATION AND SERVICES,,,319
153,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH (NIPER) - AHMEDABAD,,,5
1033,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTORATE OF PLANNING AND COORDINATION,,,319
1036,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTORATE OF PUBLIC RELATIONS,,,319
